age,sex,excess_mortality,disability_rate
0,female,0.0,0.00016044399999999998
1,female,0.0,0.00016044399999999998
2,female,0.0,0.00016044399999999998
3,female,0.0,0.00016044399999999998
4,female,0.0,0.00016044399999999998
5,female,0.0,0.000966721
6,female,0.0,0.000966721
7,female,0.0,0.000966721
8,female,0.0,0.000966721
9,female,0.0,0.000966721
10,female,0.0,0.0013461870000000002
11,female,0.0,0.0013461870000000002
12,female,0.0,0.0013461870000000002
13,female,0.0,0.0013461870000000002
14,female,0.0,0.0013461870000000002
15,female,0.0,0.001302382
16,female,0.0,0.001302382
17,female,0.0,0.001302382
18,female,0.0,0.001302382
19,female,0.0,0.001302382
20,female,0.0,0.0012348889999999999
21,female,0.0,0.0012348889999999999
22,female,0.0,0.0012348889999999999
23,female,0.0,0.0012348889999999999
24,female,0.0,0.0012348889999999999
25,female,0.0,0.001160742
26,female,0.0,0.001160742
27,female,0.0,0.001160742
28,female,0.0,0.001160742
29,female,0.0,0.001160742
30,female,0.0,0.001098902
31,female,0.0,0.001098902
32,female,0.0,0.001098902
33,female,0.0,0.001098902
34,female,0.0,0.001098902
35,female,0.0,0.001041946
36,female,0.0,0.001041946
37,female,0.0,0.001041946
38,female,0.0,0.001041946
39,female,0.0,0.001041946
40,female,0.0,0.0009355110000000001
41,female,0.0,0.0009355110000000001
42,female,0.0,0.0009355110000000001
43,female,0.0,0.0009355110000000001
44,female,0.0,0.0009355110000000001
45,female,0.0,0.00080029
46,female,0.0,0.00080029
47,female,0.0,0.00080029
48,female,0.0,0.00080029
49,female,0.0,0.00080029
50,female,0.0,0.000658026
51,female,0.0,0.000658026
52,female,0.0,0.000658026
53,female,0.0,0.000658026
54,female,0.0,0.000658026
55,female,0.0,0.000514249
56,female,0.0,0.000514249
57,female,0.0,0.000514249
58,female,0.0,0.000514249
59,female,0.0,0.000514249
60,female,0.0,0.000403705
61,female,0.0,0.000403705
62,female,0.0,0.000403705
63,female,0.0,0.000403705
64,female,0.0,0.000403705
65,female,0.0,0.000326513
66,female,0.0,0.000326513
67,female,0.0,0.000326513
68,female,0.0,0.000326513
69,female,0.0,0.000326513
70,female,0.0,0.000251247
71,female,0.0,0.000251247
72,female,0.0,0.000251247
73,female,0.0,0.000251247
74,female,0.0,0.000251247
75,female,0.0,0.00017659400000000002
76,female,0.0,0.00017659400000000002
77,female,0.0,0.00017659400000000002
78,female,0.0,0.00017659400000000002
79,female,0.0,0.00017659400000000002
80,female,0.0,0.000120838
81,female,0.0,0.000120838
82,female,0.0,0.000120838
83,female,0.0,0.000120838
84,female,0.0,0.000120838
85,female,0.0,8.44e-05
86,female,0.0,8.44e-05
87,female,0.0,8.44e-05
88,female,0.0,8.44e-05
89,female,0.0,8.44e-05
90,female,0.0,4.91e-05
91,female,0.0,4.91e-05
92,female,0.0,4.91e-05
93,female,0.0,4.91e-05
94,female,0.0,4.91e-05
95,female,0.0,1.58e-05
96,female,0.0,1.58e-05
97,female,0.0,1.58e-05
98,female,0.0,1.58e-05
99,female,0.0,1.58e-05
0,male,0.0,0.00013875
1,male,0.0,0.00013875
2,male,0.0,0.00013875
3,male,0.0,0.00013875
4,male,0.0,0.00013875
5,male,0.0,0.0008305189999999999
6,male,0.0,0.0008305189999999999
7,male,0.0,0.0008305189999999999
8,male,0.0,0.0008305189999999999
9,male,0.0,0.0008305189999999999
10,male,0.0,0.001113125
11,male,0.0,0.001113125
12,male,0.0,0.001113125
13,male,0.0,0.001113125
14,male,0.0,0.001113125
15,male,0.0,0.001005201
16,male,0.0,0.001005201
17,male,0.0,0.001005201
18,male,0.0,0.001005201
19,male,0.0,0.001005201
20,male,0.0,0.000944603
21,male,0.0,0.000944603
22,male,0.0,0.000944603
23,male,0.0,0.000944603
24,male,0.0,0.000944603
25,male,0.0,0.000932495
26,male,0.0,0.000932495
27,male,0.0,0.000932495
28,male,0.0,0.000932495
29,male,0.0,0.000932495
30,male,0.0,0.0009154189999999999
31,male,0.0,0.0009154189999999999
32,male,0.0,0.0009154189999999999
33,male,0.0,0.0009154189999999999
34,male,0.0,0.0009154189999999999
35,male,0.0,0.000900168
36,male,0.0,0.000900168
37,male,0.0,0.000900168
38,male,0.0,0.000900168
39,male,0.0,0.000900168
40,male,0.0,0.000838659
41,male,0.0,0.000838659
42,male,0.0,0.000838659
43,male,0.0,0.000838659
44,male,0.0,0.000838659
45,male,0.0,0.000729708
46,male,0.0,0.000729708
47,male,0.0,0.000729708
48,male,0.0,0.000729708
49,male,0.0,0.000729708
50,male,0.0,0.000619945
51,male,0.0,0.000619945
52,male,0.0,0.000619945
53,male,0.0,0.000619945
54,male,0.0,0.000619945
55,male,0.0,0.0005078680000000001
56,male,0.0,0.0005078680000000001
57,male,0.0,0.0005078680000000001
58,male,0.0,0.0005078680000000001
59,male,0.0,0.0005078680000000001
60,male,0.0,0.00041692300000000003
61,male,0.0,0.00041692300000000003
62,male,0.0,0.00041692300000000003
63,male,0.0,0.00041692300000000003
64,male,0.0,0.00041692300000000003
65,male,0.0,0.000346112
66,male,0.0,0.000346112
67,male,0.0,0.000346112
68,male,0.0,0.000346112
69,male,0.0,0.000346112
70,male,0.0,0.000275919
71,male,0.0,0.000275919
72,male,0.0,0.000275919
73,male,0.0,0.000275919
74,male,0.0,0.000275919
75,male,0.0,0.000210061
76,male,0.0,0.000210061
77,male,0.0,0.000210061
78,male,0.0,0.000210061
79,male,0.0,0.000210061
80,male,0.0,0.00015448100000000001
81,male,0.0,0.00015448100000000001
82,male,0.0,0.00015448100000000001
83,male,0.0,0.00015448100000000001
84,male,0.0,0.00015448100000000001
85,male,0.0,0.000107787
86,male,0.0,0.000107787
87,male,0.0,0.000107787
88,male,0.0,0.000107787
89,male,0.0,0.000107787
90,male,0.0,6.38e-05
91,male,0.0,6.38e-05
92,male,0.0,6.38e-05
93,male,0.0,6.38e-05
94,male,0.0,6.38e-05
95,male,0.0,2.07e-05
96,male,0.0,2.07e-05
97,male,0.0,2.07e-05
98,male,0.0,2.07e-05
99,male,0.0,2.07e-05
100,male,0.0,2.07e-05
101,male,0.0,2.07e-05
102,male,0.0,2.07e-05
103,male,0.0,2.07e-05
104,male,0.0,2.07e-05
105,male,0.0,2.07e-05
106,male,0.0,2.07e-05
107,male,0.0,2.07e-05
108,male,0.0,2.07e-05
109,male,0.0,2.07e-05
110,male,0.0,2.07e-05
100,female,0.0,1.58e-05
101,female,0.0,1.58e-05
102,female,0.0,1.58e-05
103,female,0.0,1.58e-05
104,female,0.0,1.58e-05
105,female,0.0,1.58e-05
106,female,0.0,1.58e-05
107,female,0.0,1.58e-05
108,female,0.0,1.58e-05
109,female,0.0,1.58e-05
110,female,0.0,1.58e-05
