age,sex,excess_mortality,disability_rate
60,female,2.5e-05,0.0013364870000000001
61,female,2.5e-05,0.0013364870000000001
62,female,2.5e-05,0.0013364870000000001
63,female,2.5e-05,0.0013364870000000001
64,female,2.5e-05,0.0013364870000000001
65,female,4.970000000000001e-05,0.001823891
66,female,4.970000000000001e-05,0.001823891
67,female,4.970000000000001e-05,0.001823891
68,female,4.970000000000001e-05,0.001823891
69,female,4.970000000000001e-05,0.001823891
70,female,0.000126837,0.003141992
71,female,0.000126837,0.003141992
72,female,0.000126837,0.003141992
73,female,0.000126837,0.003141992
74,female,0.000126837,0.003141992
75,female,0.000362513,0.006416287
76,female,0.000362513,0.006416287
77,female,0.000362513,0.006416287
78,female,0.000362513,0.006416287
79,female,0.000362513,0.006416287
80,female,0.001060893,0.01273158
81,female,0.001060893,0.01273158
82,female,0.001060893,0.01273158
83,female,0.001060893,0.01273158
84,female,0.001060893,0.01273158
85,female,0.002563751,0.019874566
86,female,0.002563751,0.019874566
87,female,0.002563751,0.019874566
88,female,0.002563751,0.019874566
89,female,0.002563751,0.019874566
90,female,0.005349309,0.039666056
91,female,0.005349309,0.039666056
92,female,0.005349309,0.039666056
93,female,0.005349309,0.039666056
94,female,0.005349309,0.039666056
95,female,0.010140322,0.071669622
96,female,0.010140322,0.071669622
97,female,0.010140322,0.071669622
98,female,0.010140322,0.071669622
99,female,0.010140322,0.071669622
0,male,2.82e-06,0.00365858
1,male,2.82e-06,0.00365858
2,male,2.82e-06,0.00365858
3,male,2.82e-06,0.00365858
4,male,2.82e-06,0.00365858
5,male,1.13e-06,0.006453658
6,male,1.13e-06,0.006453658
7,male,1.13e-06,0.006453658
8,male,1.13e-06,0.006453658
9,male,1.13e-06,0.006453658
10,male,2.23e-06,0.005391321
11,male,2.23e-06,0.005391321
12,male,2.23e-06,0.005391321
13,male,2.23e-06,0.005391321
14,male,2.23e-06,0.005391321
15,male,8.3e-06,0.003604543
16,male,8.3e-06,0.003604543
17,male,8.3e-06,0.003604543
18,male,8.3e-06,0.003604543
19,male,8.3e-06,0.003604543
20,male,1.3800000000000002e-05,0.002714326
21,male,1.3800000000000002e-05,0.002714326
22,male,1.3800000000000002e-05,0.002714326
23,male,1.3800000000000002e-05,0.002714326
24,male,1.3800000000000002e-05,0.002714326
25,male,1.22e-05,0.002049155
26,male,1.22e-05,0.002049155
27,male,1.22e-05,0.002049155
28,male,1.22e-05,0.002049155
29,male,1.22e-05,0.002049155
30,male,9.16e-06,0.0016123510000000001
31,male,9.16e-06,0.0016123510000000001
32,male,9.16e-06,0.0016123510000000001
33,male,9.16e-06,0.0016123510000000001
34,male,9.16e-06,0.0016123510000000001
35,male,1.12e-05,0.001269766
36,male,1.12e-05,0.001269766
37,male,1.12e-05,0.001269766
38,male,1.12e-05,0.001269766
39,male,1.12e-05,0.001269766
40,male,1.62e-05,0.001030791
41,male,1.62e-05,0.001030791
42,male,1.62e-05,0.001030791
43,male,1.62e-05,0.001030791
44,male,1.62e-05,0.001030791
45,male,2.0300000000000002e-05,0.000981158
46,male,2.0300000000000002e-05,0.000981158
47,male,2.0300000000000002e-05,0.000981158
48,male,2.0300000000000002e-05,0.000981158
49,male,2.0300000000000002e-05,0.000981158
50,male,3.3600000000000004e-05,0.001039482
51,male,3.3600000000000004e-05,0.001039482
52,male,3.3600000000000004e-05,0.001039482
53,male,3.3600000000000004e-05,0.001039482
54,male,3.3600000000000004e-05,0.001039482
55,male,4.5799999999999995e-05,0.001087762
56,male,4.5799999999999995e-05,0.001087762
57,male,4.5799999999999995e-05,0.001087762
58,male,4.5799999999999995e-05,0.001087762
59,male,4.5799999999999995e-05,0.001087762
60,male,6.840000000000001e-05,0.001197435
61,male,6.840000000000001e-05,0.001197435
62,male,6.840000000000001e-05,0.001197435
63,male,6.840000000000001e-05,0.001197435
64,male,6.840000000000001e-05,0.001197435
65,male,9.97e-05,0.001430695
66,male,9.97e-05,0.001430695
67,male,9.97e-05,0.001430695
68,male,9.97e-05,0.001430695
69,male,9.97e-05,0.001430695
70,male,0.00022434400000000002,0.002574185
71,male,0.00022434400000000002,0.002574185
72,male,0.00022434400000000002,0.002574185
73,male,0.00022434400000000002,0.002574185
74,male,0.00022434400000000002,0.002574185
75,male,0.00048382300000000003,0.004516557
76,male,0.00048382300000000003,0.004516557
77,male,0.00048382300000000003,0.004516557
78,male,0.00048382300000000003,0.004516557
79,male,0.00048382300000000003,0.004516557
80,male,0.0013132460000000001,0.008718311
81,male,0.0013132460000000001,0.008718311
82,male,0.0013132460000000001,0.008718311
83,male,0.0013132460000000001,0.008718311
84,male,0.0013132460000000001,0.008718311
85,male,0.0031463690000000004,0.014472343
86,male,0.0031463690000000004,0.014472343
87,male,0.0031463690000000004,0.014472343
88,male,0.0031463690000000004,0.014472343
89,male,0.0031463690000000004,0.014472343
90,male,0.006125301999999999,0.023384143
91,male,0.006125301999999999,0.023384143
92,male,0.006125301999999999,0.023384143
93,male,0.006125301999999999,0.023384143
94,male,0.006125301999999999,0.023384143
95,male,0.011503871,0.040011833
96,male,0.011503871,0.040011833
97,male,0.011503871,0.040011833
98,male,0.011503871,0.040011833
99,male,0.011503871,0.040011833
100,male,0.011503871,0.040011833
101,male,0.011503871,0.040011833
102,male,0.011503871,0.040011833
103,male,0.011503871,0.040011833
104,male,0.011503871,0.040011833
105,male,0.011503871,0.040011833
106,male,0.011503871,0.040011833
107,male,0.011503871,0.040011833
108,male,0.011503871,0.040011833
109,male,0.011503871,0.040011833
110,male,0.011503871,0.040011833
100,female,0.010140322,0.071669622
101,female,0.010140322,0.071669622
102,female,0.010140322,0.071669622
103,female,0.010140322,0.071669622
104,female,0.010140322,0.071669622
105,female,0.010140322,0.071669622
106,female,0.010140322,0.071669622
107,female,0.010140322,0.071669622
108,female,0.010140322,0.071669622
109,female,0.010140322,0.071669622
110,female,0.010140322,0.071669622
