age,sex,excess_mortality,disability_rate
0,female,6.36e-06,0.000103102
1,female,6.36e-06,0.000103102
2,female,6.36e-06,0.000103102
3,female,6.36e-06,0.000103102
4,female,6.36e-06,0.000103102
5,female,2.45e-06,4.7499999999999996e-05
6,female,2.45e-06,4.7499999999999996e-05
7,female,2.45e-06,4.7499999999999996e-05
8,female,2.45e-06,4.7499999999999996e-05
9,female,2.45e-06,4.7499999999999996e-05
10,female,2.65e-06,7.340000000000001e-05
11,female,2.65e-06,7.340000000000001e-05
12,female,2.65e-06,7.340000000000001e-05
13,female,2.65e-06,7.340000000000001e-05
14,female,2.65e-06,7.340000000000001e-05
15,female,4.76e-06,0.000113414
16,female,4.76e-06,0.000113414
17,female,4.76e-06,0.000113414
18,female,4.76e-06,0.000113414
19,female,4.76e-06,0.000113414
20,female,1.05e-05,0.00013934
21,female,1.05e-05,0.00013934
22,female,1.05e-05,0.00013934
23,female,1.05e-05,0.00013934
24,female,1.05e-05,0.00013934
25,female,1.26e-05,0.000147369
26,female,1.26e-05,0.000147369
27,female,1.26e-05,0.000147369
28,female,1.26e-05,0.000147369
29,female,1.26e-05,0.000147369
30,female,1.29e-05,0.0001369
31,female,1.29e-05,0.0001369
32,female,1.29e-05,0.0001369
33,female,1.29e-05,0.0001369
34,female,1.29e-05,0.0001369
35,female,1.1400000000000001e-05,0.000108356
36,female,1.1400000000000001e-05,0.000108356
37,female,1.1400000000000001e-05,0.000108356
38,female,1.1400000000000001e-05,0.000108356
39,female,1.1400000000000001e-05,0.000108356
40,female,1.15e-05,7.92e-05
41,female,1.15e-05,7.92e-05
42,female,1.15e-05,7.92e-05
43,female,1.15e-05,7.92e-05
44,female,1.15e-05,7.92e-05
45,female,1.11e-05,5.8599999999999995e-05
46,female,1.11e-05,5.8599999999999995e-05
47,female,1.11e-05,5.8599999999999995e-05
48,female,1.11e-05,5.8599999999999995e-05
49,female,1.11e-05,5.8599999999999995e-05
50,female,8.49e-06,4.48e-05
51,female,8.49e-06,4.48e-05
52,female,8.49e-06,4.48e-05
53,female,8.49e-06,4.48e-05
54,female,8.49e-06,4.48e-05
55,female,7.4e-06,3.570000000000001e-05
56,female,7.4e-06,3.570000000000001e-05
57,female,7.4e-06,3.570000000000001e-05
58,female,7.4e-06,3.570000000000001e-05
59,female,7.4e-06,3.570000000000001e-05
60,female,5.99e-06,2.9600000000000005e-05
61,female,5.99e-06,2.9600000000000005e-05
62,female,5.99e-06,2.9600000000000005e-05
63,female,5.99e-06,2.9600000000000005e-05
64,female,5.99e-06,2.9600000000000005e-05
65,female,7.19e-06,2.55e-05
66,female,7.19e-06,2.55e-05
67,female,7.19e-06,2.55e-05
68,female,7.19e-06,2.55e-05
69,female,7.19e-06,2.55e-05
70,female,7.12e-06,2.4e-05
71,female,7.12e-06,2.4e-05
72,female,7.12e-06,2.4e-05
73,female,7.12e-06,2.4e-05
74,female,7.12e-06,2.4e-05
75,female,8.53e-06,2.4299999999999998e-05
76,female,8.53e-06,2.4299999999999998e-05
77,female,8.53e-06,2.4299999999999998e-05
78,female,8.53e-06,2.4299999999999998e-05
79,female,8.53e-06,2.4299999999999998e-05
80,female,6.52e-06,2.7000000000000002e-05
81,female,6.52e-06,2.7000000000000002e-05
82,female,6.52e-06,2.7000000000000002e-05
83,female,6.52e-06,2.7000000000000002e-05
84,female,6.52e-06,2.7000000000000002e-05
85,female,6.46e-06,3.229999999999999e-05
86,female,6.46e-06,3.229999999999999e-05
87,female,6.46e-06,3.229999999999999e-05
88,female,6.46e-06,3.229999999999999e-05
89,female,6.46e-06,3.229999999999999e-05
90,female,6.01e-06,3.79e-05
91,female,6.01e-06,3.79e-05
92,female,6.01e-06,3.79e-05
93,female,6.01e-06,3.79e-05
94,female,6.01e-06,3.79e-05
95,female,9.52e-06,4e-05
96,female,9.52e-06,4e-05
97,female,9.52e-06,4e-05
98,female,9.52e-06,4e-05
99,female,9.52e-06,4e-05
0,male,9.5e-06,0.000132791
1,male,9.5e-06,0.000132791
2,male,9.5e-06,0.000132791
3,male,9.5e-06,0.000132791
4,male,9.5e-06,0.000132791
5,male,2.64e-06,0.00010408100000000001
6,male,2.64e-06,0.00010408100000000001
7,male,2.64e-06,0.00010408100000000001
8,male,2.64e-06,0.00010408100000000001
9,male,2.64e-06,0.00010408100000000001
10,male,3.11e-06,0.00025864700000000003
11,male,3.11e-06,0.00025864700000000003
12,male,3.11e-06,0.00025864700000000003
13,male,3.11e-06,0.00025864700000000003
14,male,3.11e-06,0.00025864700000000003
15,male,1.26e-05,0.0006156569999999999
16,male,1.26e-05,0.0006156569999999999
17,male,1.26e-05,0.0006156569999999999
18,male,1.26e-05,0.0006156569999999999
19,male,1.26e-05,0.0006156569999999999
20,male,2.37e-05,0.000830725
21,male,2.37e-05,0.000830725
22,male,2.37e-05,0.000830725
23,male,2.37e-05,0.000830725
24,male,2.37e-05,0.000830725
25,male,2.8699999999999996e-05,0.000702444
26,male,2.8699999999999996e-05,0.000702444
27,male,2.8699999999999996e-05,0.000702444
28,male,2.8699999999999996e-05,0.000702444
29,male,2.8699999999999996e-05,0.000702444
30,male,2.8699999999999996e-05,0.0005091469999999999
31,male,2.8699999999999996e-05,0.0005091469999999999
32,male,2.8699999999999996e-05,0.0005091469999999999
33,male,2.8699999999999996e-05,0.0005091469999999999
34,male,2.8699999999999996e-05,0.0005091469999999999
35,male,2.8100000000000002e-05,0.000389646
36,male,2.8100000000000002e-05,0.000389646
37,male,2.8100000000000002e-05,0.000389646
38,male,2.8100000000000002e-05,0.000389646
39,male,2.8100000000000002e-05,0.000389646
40,male,2.6899999999999997e-05,0.000313854
41,male,2.6899999999999997e-05,0.000313854
42,male,2.6899999999999997e-05,0.000313854
43,male,2.6899999999999997e-05,0.000313854
44,male,2.6899999999999997e-05,0.000313854
45,male,2.47e-05,0.000243955
46,male,2.47e-05,0.000243955
47,male,2.47e-05,0.000243955
48,male,2.47e-05,0.000243955
49,male,2.47e-05,0.000243955
50,male,2.01e-05,0.000173845
51,male,2.01e-05,0.000173845
52,male,2.01e-05,0.000173845
53,male,2.01e-05,0.000173845
54,male,2.01e-05,0.000173845
55,male,1.76e-05,0.000119924
56,male,1.76e-05,0.000119924
57,male,1.76e-05,0.000119924
58,male,1.76e-05,0.000119924
59,male,1.76e-05,0.000119924
60,male,1.52e-05,8.85e-05
61,male,1.52e-05,8.85e-05
62,male,1.52e-05,8.85e-05
63,male,1.52e-05,8.85e-05
64,male,1.52e-05,8.85e-05
65,male,1.4000000000000001e-05,6.86e-05
66,male,1.4000000000000001e-05,6.86e-05
67,male,1.4000000000000001e-05,6.86e-05
68,male,1.4000000000000001e-05,6.86e-05
69,male,1.4000000000000001e-05,6.86e-05
70,male,1.2e-05,5.88e-05
71,male,1.2e-05,5.88e-05
72,male,1.2e-05,5.88e-05
73,male,1.2e-05,5.88e-05
74,male,1.2e-05,5.88e-05
75,male,1.57e-05,5.12e-05
76,male,1.57e-05,5.12e-05
77,male,1.57e-05,5.12e-05
78,male,1.57e-05,5.12e-05
79,male,1.57e-05,5.12e-05
80,male,7.33e-06,4.8200000000000006e-05
81,male,7.33e-06,4.8200000000000006e-05
82,male,7.33e-06,4.8200000000000006e-05
83,male,7.33e-06,4.8200000000000006e-05
84,male,7.33e-06,4.8200000000000006e-05
85,male,1.12e-05,5.2900000000000005e-05
86,male,1.12e-05,5.2900000000000005e-05
87,male,1.12e-05,5.2900000000000005e-05
88,male,1.12e-05,5.2900000000000005e-05
89,male,1.12e-05,5.2900000000000005e-05
90,male,9.2e-06,8.26e-05
91,male,9.2e-06,8.26e-05
92,male,9.2e-06,8.26e-05
93,male,9.2e-06,8.26e-05
94,male,9.2e-06,8.26e-05
95,male,3.27e-05,0.000133875
96,male,3.27e-05,0.000133875
97,male,3.27e-05,0.000133875
98,male,3.27e-05,0.000133875
99,male,3.27e-05,0.000133875
100,male,3.27e-05,0.000133875
101,male,3.27e-05,0.000133875
102,male,3.27e-05,0.000133875
103,male,3.27e-05,0.000133875
104,male,3.27e-05,0.000133875
105,male,3.27e-05,0.000133875
106,male,3.27e-05,0.000133875
107,male,3.27e-05,0.000133875
108,male,3.27e-05,0.000133875
109,male,3.27e-05,0.000133875
110,male,3.27e-05,0.000133875
100,female,9.52e-06,4e-05
101,female,9.52e-06,4e-05
102,female,9.52e-06,4e-05
103,female,9.52e-06,4e-05
104,female,9.52e-06,4e-05
105,female,9.52e-06,4e-05
106,female,9.52e-06,4e-05
107,female,9.52e-06,4e-05
108,female,9.52e-06,4e-05
109,female,9.52e-06,4e-05
110,female,9.52e-06,4e-05
