age,sex,excess_mortality,disability_rate
0,female,0.0,0.0
1,female,0.0,0.0
2,female,0.0,0.0
3,female,0.0,0.0
4,female,0.0,0.0
5,female,0.0,0.0
6,female,0.0,0.0
7,female,0.0,0.0
8,female,0.0,0.0
9,female,0.0,0.0
10,female,6.13e-06,6.11e-05
11,female,6.13e-06,6.11e-05
12,female,6.13e-06,6.11e-05
13,female,6.13e-06,6.11e-05
14,female,6.13e-06,6.11e-05
15,female,4.96e-05,0.00017690400000000003
16,female,4.96e-05,0.00017690400000000003
17,female,4.96e-05,0.00017690400000000003
18,female,4.96e-05,0.00017690400000000003
19,female,4.96e-05,0.00017690400000000003
20,female,6.34e-05,0.000177204
21,female,6.34e-05,0.000177204
22,female,6.34e-05,0.000177204
23,female,6.34e-05,0.000177204
24,female,6.34e-05,0.000177204
25,female,6.31e-05,0.000109591
26,female,6.31e-05,0.000109591
27,female,6.31e-05,0.000109591
28,female,6.31e-05,0.000109591
29,female,6.31e-05,0.000109591
30,female,6.78e-05,9.09e-05
31,female,6.78e-05,9.09e-05
32,female,6.78e-05,9.09e-05
33,female,6.78e-05,9.09e-05
34,female,6.78e-05,9.09e-05
35,female,7.390000000000001e-05,8.499999999999999e-05
36,female,7.390000000000001e-05,8.499999999999999e-05
37,female,7.390000000000001e-05,8.499999999999999e-05
38,female,7.390000000000001e-05,8.499999999999999e-05
39,female,7.390000000000001e-05,8.499999999999999e-05
40,female,7.780000000000001e-05,7.57e-05
41,female,7.780000000000001e-05,7.57e-05
42,female,7.780000000000001e-05,7.57e-05
43,female,7.780000000000001e-05,7.57e-05
44,female,7.780000000000001e-05,7.57e-05
45,female,7.74e-05,6.61e-05
46,female,7.74e-05,6.61e-05
47,female,7.74e-05,6.61e-05
48,female,7.74e-05,6.61e-05
49,female,7.74e-05,6.61e-05
50,female,8.66e-05,4.93e-05
51,female,8.66e-05,4.93e-05
52,female,8.66e-05,4.93e-05
53,female,8.66e-05,4.93e-05
54,female,8.66e-05,4.93e-05
55,female,6.94e-05,3.26e-05
56,female,6.94e-05,3.26e-05
57,female,6.94e-05,3.26e-05
58,female,6.94e-05,3.26e-05
59,female,6.94e-05,3.26e-05
60,female,5.660000000000001e-05,1.7899999999999998e-05
61,female,5.660000000000001e-05,1.7899999999999998e-05
62,female,5.660000000000001e-05,1.7899999999999998e-05
63,female,5.660000000000001e-05,1.7899999999999998e-05
64,female,5.660000000000001e-05,1.7899999999999998e-05
65,female,4.79e-05,1.25e-05
66,female,4.79e-05,1.25e-05
67,female,4.79e-05,1.25e-05
68,female,4.79e-05,1.25e-05
69,female,4.79e-05,1.25e-05
70,female,5.6999999999999996e-05,9.63e-06
71,female,5.6999999999999996e-05,9.63e-06
72,female,5.6999999999999996e-05,9.63e-06
73,female,5.6999999999999996e-05,9.63e-06
74,female,5.6999999999999996e-05,9.63e-06
75,female,5.629999999999999e-05,1.0300000000000001e-05
76,female,5.629999999999999e-05,1.0300000000000001e-05
77,female,5.629999999999999e-05,1.0300000000000001e-05
78,female,5.629999999999999e-05,1.0300000000000001e-05
79,female,5.629999999999999e-05,1.0300000000000001e-05
80,female,6.330000000000001e-05,1.31e-05
81,female,6.330000000000001e-05,1.31e-05
82,female,6.330000000000001e-05,1.31e-05
83,female,6.330000000000001e-05,1.31e-05
84,female,6.330000000000001e-05,1.31e-05
85,female,5.96e-05,1.05e-05
86,female,5.96e-05,1.05e-05
87,female,5.96e-05,1.05e-05
88,female,5.96e-05,1.05e-05
89,female,5.96e-05,1.05e-05
90,female,5.739999999999999e-05,7.59e-06
91,female,5.739999999999999e-05,7.59e-06
92,female,5.739999999999999e-05,7.59e-06
93,female,5.739999999999999e-05,7.59e-06
94,female,5.739999999999999e-05,7.59e-06
95,female,4.96e-05,4.82e-06
96,female,4.96e-05,4.82e-06
97,female,4.96e-05,4.82e-06
98,female,4.96e-05,4.82e-06
99,female,4.96e-05,4.82e-06
0,male,0.0,0.0
1,male,0.0,0.0
2,male,0.0,0.0
3,male,0.0,0.0
4,male,0.0,0.0
5,male,0.0,0.0
6,male,0.0,0.0
7,male,0.0,0.0
8,male,0.0,0.0
9,male,0.0,0.0
10,male,8.62e-06,1.73e-05
11,male,8.62e-06,1.73e-05
12,male,8.62e-06,1.73e-05
13,male,8.62e-06,1.73e-05
14,male,8.62e-06,1.73e-05
15,male,0.000124179,0.000108341
16,male,0.000124179,0.000108341
17,male,0.000124179,0.000108341
18,male,0.000124179,0.000108341
19,male,0.000124179,0.000108341
20,male,0.000242154,0.00013712
21,male,0.000242154,0.00013712
22,male,0.000242154,0.00013712
23,male,0.000242154,0.00013712
24,male,0.000242154,0.00013712
25,male,0.000242308,9.259999999999999e-05
26,male,0.000242308,9.259999999999999e-05
27,male,0.000242308,9.259999999999999e-05
28,male,0.000242308,9.259999999999999e-05
29,male,0.000242308,9.259999999999999e-05
30,male,0.000263371,8.14e-05
31,male,0.000263371,8.14e-05
32,male,0.000263371,8.14e-05
33,male,0.000263371,8.14e-05
34,male,0.000263371,8.14e-05
35,male,0.000251139,7.46e-05
36,male,0.000251139,7.46e-05
37,male,0.000251139,7.46e-05
38,male,0.000251139,7.46e-05
39,male,0.000251139,7.46e-05
40,male,0.000264693,5.7100000000000006e-05
41,male,0.000264693,5.7100000000000006e-05
42,male,0.000264693,5.7100000000000006e-05
43,male,0.000264693,5.7100000000000006e-05
44,male,0.000264693,5.7100000000000006e-05
45,male,0.000246169,4.93e-05
46,male,0.000246169,4.93e-05
47,male,0.000246169,4.93e-05
48,male,0.000246169,4.93e-05
49,male,0.000246169,4.93e-05
50,male,0.00024411599999999998,3.41e-05
51,male,0.00024411599999999998,3.41e-05
52,male,0.00024411599999999998,3.41e-05
53,male,0.00024411599999999998,3.41e-05
54,male,0.00024411599999999998,3.41e-05
55,male,0.000217976,2.46e-05
56,male,0.000217976,2.46e-05
57,male,0.000217976,2.46e-05
58,male,0.000217976,2.46e-05
59,male,0.000217976,2.46e-05
60,male,0.00019568,1.56e-05
61,male,0.00019568,1.56e-05
62,male,0.00019568,1.56e-05
63,male,0.00019568,1.56e-05
64,male,0.00019568,1.56e-05
65,male,0.00017003599999999998,1.0199999999999999e-05
66,male,0.00017003599999999998,1.0199999999999999e-05
67,male,0.00017003599999999998,1.0199999999999999e-05
68,male,0.00017003599999999998,1.0199999999999999e-05
69,male,0.00017003599999999998,1.0199999999999999e-05
70,male,0.000175315,7.41e-06
71,male,0.000175315,7.41e-06
72,male,0.000175315,7.41e-06
73,male,0.000175315,7.41e-06
74,male,0.000175315,7.41e-06
75,male,0.00020864,8.15e-06
76,male,0.00020864,8.15e-06
77,male,0.00020864,8.15e-06
78,male,0.00020864,8.15e-06
79,male,0.00020864,8.15e-06
80,male,0.00024354700000000002,1.29e-05
81,male,0.00024354700000000002,1.29e-05
82,male,0.00024354700000000002,1.29e-05
83,male,0.00024354700000000002,1.29e-05
84,male,0.00024354700000000002,1.29e-05
85,male,0.00034366400000000004,1.3500000000000001e-05
86,male,0.00034366400000000004,1.3500000000000001e-05
87,male,0.00034366400000000004,1.3500000000000001e-05
88,male,0.00034366400000000004,1.3500000000000001e-05
89,male,0.00034366400000000004,1.3500000000000001e-05
90,male,0.00037678,9.97e-06
91,male,0.00037678,9.97e-06
92,male,0.00037678,9.97e-06
93,male,0.00037678,9.97e-06
94,male,0.00037678,9.97e-06
95,male,0.000342578,5.32e-06
96,male,0.000342578,5.32e-06
97,male,0.000342578,5.32e-06
98,male,0.000342578,5.32e-06
99,male,0.000342578,5.32e-06
100,male,0.000342578,5.32e-06
101,male,0.000342578,5.32e-06
102,male,0.000342578,5.32e-06
103,male,0.000342578,5.32e-06
104,male,0.000342578,5.32e-06
105,male,0.000342578,5.32e-06
106,male,0.000342578,5.32e-06
