age,sex,excess_mortality,disability_rate
0,female,1.25e-05,8.950000000000001e-05
1,female,1.25e-05,8.950000000000001e-05
2,female,1.25e-05,8.950000000000001e-05
3,female,1.25e-05,8.950000000000001e-05
4,female,1.25e-05,8.950000000000001e-05
5,female,9.33e-06,0.000200423
6,female,9.33e-06,0.000200423
7,female,9.33e-06,0.000200423
8,female,9.33e-06,0.000200423
9,female,9.33e-06,0.000200423
10,female,1.0199999999999999e-05,0.000336927
11,female,1.0199999999999999e-05,0.000336927
12,female,1.0199999999999999e-05,0.000336927
13,female,1.0199999999999999e-05,0.000336927
14,female,1.0199999999999999e-05,0.000336927
15,female,4.85e-05,0.0004929180000000001
16,female,4.85e-05,0.0004929180000000001
17,female,4.85e-05,0.0004929180000000001
18,female,4.85e-05,0.0004929180000000001
19,female,4.85e-05,0.0004929180000000001
20,female,4.35e-05,0.0004893030000000001
21,female,4.35e-05,0.0004893030000000001
22,female,4.35e-05,0.0004893030000000001
23,female,4.35e-05,0.0004893030000000001
24,female,4.35e-05,0.0004893030000000001
25,female,3.6099999999999997e-05,0.000383266
26,female,3.6099999999999997e-05,0.000383266
27,female,3.6099999999999997e-05,0.000383266
28,female,3.6099999999999997e-05,0.000383266
29,female,3.6099999999999997e-05,0.000383266
30,female,2.6600000000000003e-05,0.000314968
31,female,2.6600000000000003e-05,0.000314968
32,female,2.6600000000000003e-05,0.000314968
33,female,2.6600000000000003e-05,0.000314968
34,female,2.6600000000000003e-05,0.000314968
35,female,2.44e-05,0.00028215200000000003
36,female,2.44e-05,0.00028215200000000003
37,female,2.44e-05,0.00028215200000000003
38,female,2.44e-05,0.00028215200000000003
39,female,2.44e-05,0.00028215200000000003
40,female,2.46e-05,0.000267373
41,female,2.46e-05,0.000267373
42,female,2.46e-05,0.000267373
43,female,2.46e-05,0.000267373
44,female,2.46e-05,0.000267373
45,female,2.78e-05,0.00025122
46,female,2.78e-05,0.00025122
47,female,2.78e-05,0.00025122
48,female,2.78e-05,0.00025122
49,female,2.78e-05,0.00025122
50,female,2.84e-05,0.000220653
51,female,2.84e-05,0.000220653
52,female,2.84e-05,0.000220653
53,female,2.84e-05,0.000220653
54,female,2.84e-05,0.000220653
55,female,3.27e-05,0.00018826400000000003
56,female,3.27e-05,0.00018826400000000003
57,female,3.27e-05,0.00018826400000000003
58,female,3.27e-05,0.00018826400000000003
59,female,3.27e-05,0.00018826400000000003
60,female,3.77e-05,0.000158929
61,female,3.77e-05,0.000158929
62,female,3.77e-05,0.000158929
63,female,3.77e-05,0.000158929
64,female,3.77e-05,0.000158929
65,female,4.4e-05,0.00013767
66,female,4.4e-05,0.00013767
67,female,4.4e-05,0.00013767
68,female,4.4e-05,0.00013767
69,female,4.4e-05,0.00013767
70,female,5.7799999999999995e-05,0.00012801
71,female,5.7799999999999995e-05,0.00012801
72,female,5.7799999999999995e-05,0.00012801
73,female,5.7799999999999995e-05,0.00012801
74,female,5.7799999999999995e-05,0.00012801
75,female,8.499999999999999e-05,0.000140376
76,female,8.499999999999999e-05,0.000140376
77,female,8.499999999999999e-05,0.000140376
78,female,8.499999999999999e-05,0.000140376
79,female,8.499999999999999e-05,0.000140376
80,female,0.00011785700000000001,0.000145885
81,female,0.00011785700000000001,0.000145885
82,female,0.00011785700000000001,0.000145885
83,female,0.00011785700000000001,0.000145885
84,female,0.00011785700000000001,0.000145885
85,female,0.000165191,0.000132471
86,female,0.000165191,0.000132471
87,female,0.000165191,0.000132471
88,female,0.000165191,0.000132471
89,female,0.000165191,0.000132471
90,female,0.000141524,0.000116675
91,female,0.000141524,0.000116675
92,female,0.000141524,0.000116675
93,female,0.000141524,0.000116675
94,female,0.000141524,0.000116675
95,female,0.000172836,0.000102125
96,female,0.000172836,0.000102125
97,female,0.000172836,0.000102125
98,female,0.000172836,0.000102125
99,female,0.000172836,0.000102125
0,male,1.7199999999999998e-05,8.290000000000001e-05
1,male,1.7199999999999998e-05,8.290000000000001e-05
2,male,1.7199999999999998e-05,8.290000000000001e-05
3,male,1.7199999999999998e-05,8.290000000000001e-05
