age,sex,excess_mortality,disability_rate
0,female,0.0,0.0
1,female,0.0,0.0
2,female,0.0,0.0
3,female,0.0,0.0
4,female,0.0,0.0
5,female,0.0,0.000890685
6,female,0.0,0.000890685
7,female,0.0,0.000890685
8,female,0.0,0.000890685
9,female,0.0,0.000890685
10,female,0.0,0.008255521
11,female,0.0,0.008255521
12,female,0.0,0.008255521
13,female,0.0,0.008255521
14,female,0.0,0.008255521
15,female,0.0,0.019171355
16,female,0.0,0.019171355
17,female,0.0,0.019171355
18,female,0.0,0.019171355
19,female,0.0,0.019171355
20,female,0.0,0.021924856
21,female,0.0,0.021924856
22,female,0.0,0.021924856
23,female,0.0,0.021924856
24,female,0.0,0.021924856
25,female,0.0,0.017990248
26,female,0.0,0.017990248
27,female,0.0,0.017990248
28,female,0.0,0.017990248
29,female,0.0,0.017990248
30,female,0.0,0.015990255
31,female,0.0,0.015990255
32,female,0.0,0.015990255
33,female,0.0,0.015990255
34,female,0.0,0.015990255
35,female,0.0,0.015899636
36,female,0.0,0.015899636
37,female,0.0,0.015899636
38,female,0.0,0.015899636
39,female,0.0,0.015899636
40,female,0.0,0.015063295
41,female,0.0,0.015063295
42,female,0.0,0.015063295
43,female,0.0,0.015063295
44,female,0.0,0.015063295
45,female,0.0,0.013470511000000001
46,female,0.0,0.013470511000000001
47,female,0.0,0.013470511000000001
48,female,0.0,0.013470511000000001
49,female,0.0,0.013470511000000001
50,female,0.0,0.011901299999999998
51,female,0.0,0.011901299999999998
52,female,0.0,0.011901299999999998
53,female,0.0,0.011901299999999998
54,female,0.0,0.011901299999999998
55,female,0.0,0.010295099
56,female,0.0,0.010295099
57,female,0.0,0.010295099
58,female,0.0,0.010295099
59,female,0.0,0.010295099
60,female,0.0,0.009201827
61,female,0.0,0.009201827
62,female,0.0,0.009201827
63,female,0.0,0.009201827
64,female,0.0,0.009201827
65,female,0.0,0.008617663000000001
66,female,0.0,0.008617663000000001
67,female,0.0,0.008617663000000001
68,female,0.0,0.008617663000000001
69,female,0.0,0.008617663000000001
70,female,0.0,0.00799984
71,female,0.0,0.00799984
72,female,0.0,0.00799984
73,female,0.0,0.00799984
74,female,0.0,0.00799984
75,female,0.0,0.007404696
76,female,0.0,0.007404696
77,female,0.0,0.007404696
78,female,0.0,0.007404696
79,female,0.0,0.007404696
80,female,0.0,0.007327643000000001
81,female,0.0,0.007327643000000001
82,female,0.0,0.007327643000000001
83,female,0.0,0.007327643000000001
84,female,0.0,0.007327643000000001
85,female,0.0,0.007738836
86,female,0.0,0.007738836
87,female,0.0,0.007738836
88,female,0.0,0.007738836
89,female,0.0,0.007738836
90,female,0.0,0.008063121
91,female,0.0,0.008063121
92,female,0.0,0.008063121
93,female,0.0,0.008063121
94,female,0.0,0.008063121
95,female,0.0,0.008272936
96,female,0.0,0.008272936
97,female,0.0,0.008272936
98,female,0.0,0.008272936
99,female,0.0,0.008272936
0,male,0.0,0.0
1,male,0.0,0.0
2,male,0.0,0.0
3,male,0.0,0.0
4,male,0.0,0.0
5,male,0.0,0.000675013
6,male,0.0,0.000675013
7,male,0.0,0.000675013
8,male,0.0,0.000675013
9,male,0.0,0.000675013
10,male,0.0,0.004795560999999999
11,male,0.0,0.004795560999999999
12,male,0.0,0.004795560999999999
13,male,0.0,0.004795560999999999
14,male,0.0,0.004795560999999999
15,male,0.0,0.01051665
16,male,0.0,0.01051665
17,male,0.0,0.01051665
18,male,0.0,0.01051665
19,male,0.0,0.01051665
20,male,0.0,0.012212737
21,male,0.0,0.012212737
22,male,0.0,0.012212737
23,male,0.0,0.012212737
24,male,0.0,0.012212737
25,male,0.0,0.010720469
26,male,0.0,0.010720469
27,male,0.0,0.010720469
28,male,0.0,0.010720469
29,male,0.0,0.010720469
30,male,0.0,0.010462384
31,male,0.0,0.010462384
32,male,0.0,0.010462384
33,male,0.0,0.010462384
34,male,0.0,0.010462384
35,male,0.0,0.011420612
36,male,0.0,0.011420612
37,male,0.0,0.011420612
38,male,0.0,0.011420612
39,male,0.0,0.011420612
40,male,0.0,0.011373253
41,male,0.0,0.011373253
42,male,0.0,0.011373253
43,male,0.0,0.011373253
44,male,0.0,0.011373253
45,male,0.0,0.010337115
46,male,0.0,0.010337115
47,male,0.0,0.010337115
48,male,0.0,0.010337115
49,male,0.0,0.010337115
50,male,0.0,0.009255991
51,male,0.0,0.009255991
52,male,0.0,0.009255991
53,male,0.0,0.009255991
54,male,0.0,0.009255991
55,male,0.0,0.008211276
56,male,0.0,0.008211276
57,male,0.0,0.008211276
58,male,0.0,0.008211276
59,male,0.0,0.008211276
60,male,0.0,0.0075005359999999995
61,male,0.0,0.0075005359999999995
62,male,0.0,0.0075005359999999995
63,male,0.0,0.0075005359999999995
64,male,0.0,0.0075005359999999995
65,male,0.0,0.007170534
66,male,0.0,0.007170534
67,male,0.0,0.007170534
68,male,0.0,0.007170534
69,male,0.0,0.007170534
70,male,0.0,0.006818248000000001
71,male,0.0,0.006818248000000001
72,male,0.0,0.006818248000000001
73,male,0.0,0.006818248000000001
74,male,0.0,0.006818248000000001
75,male,0.0,0.006483722
76,male,0.0,0.006483722
77,male,0.0,0.006483722
78,male,0.0,0.006483722
79,male,0.0,0.006483722
80,male,0.0,0.006273258
81,male,0.0,0.006273258
82,male,0.0,0.006273258
83,male,0.0,0.006273258
84,male,0.0,0.006273258
85,male,0.0,0.0061369530000000005
86,male,0.0,0.0061369530000000005
87,male,0.0,0.0061369530000000005
88,male,0.0,0.0061369530000000005
89,male,0.0,0.0061369530000000005
90,male,0.0,0.006005501999999999
91,male,0.0,0.006005501999999999
92,male,0.0,0.006005501999999999
93,male,0.0,0.006005501999999999
94,male,0.0,0.006005501999999999
95,male,0.0,0.005818684
96,male,0.0,0.005818684
97,male,0.0,0.005818684
98,male,0.0,0.005818684
99,male,0.0,0.005818684
100,male,0.0,0.005818684
101,male,0.0,0.005818684
102,male,0.0,0.005818684
103,male,0.0,0.005818684
104,male,0.0,0.005818684
105,male,0.0,0.005818684
106,male,0.0,0.005818684
107,male,0.0,0.005818684
108,male,0.0,0.005818684
109,male,0.0,0.005818684
110,male,0.0,0.005818684
100,female,0.0,0.008272936
101,female,0.0,0.008272936
102,female,0.0,0.008272936
103,female,0.0,0.008272936
104,female,0.0,0.008272936
105,female,0.0,0.008272936
106,female,0.0,0.008272936
107,female,0.0,0.008272936
108,female,0.0,0.008272936
109,female,0.0,0.008272936
110,female,0.0,0.008272936
